date,title,label,link
26/3/30,Introductory Lecture,LECT,https://drive.google.com/file/d/1eK0hv3eWy__eF6XXPFQLwN04EIU2hUi-/view?usp=sharing
26/4/1,Python Fundamentals I,LECT,https://drive.google.com/file/d/1D4CLioXWRVzhhjVy4fMsxHqA6WFbnymc/view?usp=sharing
26/4/3,Python Fundamentals II,LECT,https://drive.google.com/file/d/1AAiHUyPAn0DdxmYM_VxOswN_cZuhMi_Q/view?usp=sharing
26/4/6,Python Fundamentals III,LECT,https://drive.google.com/file/d/1rZzZI5K-dstfoYMhSFPinxYDd5lPlelc/view?usp=sharing
26/4/8,Python Libraries I,LECT,https://drive.google.com/file/d/1BHsoYh4iovanyu5wQdR3hZCfvMx-3GbN/view?usp=sharing
26/4/10,Python Libraries II,LECT,https://drive.google.com/file/d/1LU56l0C4i8FoDgxY0Ieqw8tN9gAwbU9k/view?usp=sharing
26/4/10,Quiz 1 due,QUIZ,
26/4/13,Neural Data Science Questions,LECT,https://drive.google.com/file/d/1HQLIOfF2vVisjpWYVSl9iR4kloKueywj/view?usp=sharing
26/4/15,Version Control (Lecture by Shreya Saha),LECT,
26/4/17,Overview of Types of Neural Data I,LECT,https://drive.google.com/file/d/1AIt78lUUOV-KnN4nlnFL-xpJMvAZRdH6/view?usp=sharing
26/4/17,Assignment 1 due,ASSG,
26/4/20,Lecture Cancelled (Meenakshi is traveling),CNCL,
26/4/22,Overview of Types of Neural Data II,LECT,https://drive.google.com/file/d/15saMYiq2xo9AjkUyZD6WtwbnBPz0Dj0-/view?usp=sharing
26/4/24,Neural Data Types ctd. (humans),LECT,https://drive.google.com/file/d/11WxAjj83DadkkZtiu8vMunGJlT2Mntl9/view?usp=sharing
26/4/24,Quiz 2 due,QUIZ,
26/4/27,Allen Cell Types Database,LECT,https://drive.google.com/file/d/16r1xpvV-e-nGwLripp2TYoiESD82qiVp/view?usp=sharing
26/4/29,Neural Data Visualization,LECT,
26/5/1,Descriptive and Exploratory Data Analysis,LECT,
26/5/1,Assignment 2 due,ASSG,
26/5/4,Descriptive and Exploratory Data Analysis (ctd.),LECT,
26/5/6,Statistical Inference,LECT,
26/5/8,Statistical Encoding and Decoding,LECT,
26/5/8,Quiz 3 due,QUIZ,
26/5/8,Final Project Proposal due,PROJ,
26/5/11,Statistical Encoding and Decoding II,LECT,
26/5/13,Machine Learning Intro,LECT,
26/5/15,Dimensionality Reduction in Neuroscience,LECT,
26/5/15,Assignment 3 due,ASSG,
26/5/18,Dimensionality Reduction in Neuroscience (ctd.),LECT,
26/5/20,Dimensionality Reduction for Electrophysiology Data,LECT,
26/5/22,Supervised Machine Learning,LECT,
26/5/22,Quiz 4 due,QUIZ,
26/5/25,No Class (Memorial Day),CNCL,
26/5/27,Guest Lecture (TBA),GLCT,
26/5/29,Supervised Machine Learning (ctd.),LECT,
26/5/29,Assignment 4 due,ASSG,
26/6/1,Project Workday / Review,LECT,
26/6/3,Final Project Presentations I,PROJ,
26/6/5,Final Project Presentations II,PROJ,
26/6/5,Final Project Notebook due,PROJ,
26/6/10,Final Exam (finals week; details TBA),EXAM,